First Initial,Last Name,CBS Ranking,CBS Handicap
S.,Barkley,1,0
C.,McCaffrey,2,0
A.,Kamara,3,0
E.,Elliott,4,0
D.,Adams,5,1
D.,Hopkins,6,1
J.,Jones,7,1
J.,Smith-Schuster,8,1
M.,Thomas,9,1
N.,Chubb,10,5
J.,Conner,11,5
T.,Hill,12,5
O.,Beckham,13,5
L.,Bell,14,5
J.,Mixon,15,5
D.,Johnson,16,5
T.,Kelce,17,5
M.,Evans,18,5
K.,Johnson,19,5
L.,Fournette,20,5
D.,Cook,21,5
T.,Gurley,22,5
K.,Allen,23,5
Z.,Ertz,24,5
G.,Kittle,25,5
J.,Edelman,26,10
A.,Brown,27,10
S.,Diggs,28,10
A.,Thielen,29,10
T.,Hilton,30,10
A.,Cooper,31,10
B.,Cooks,32,10
R.,Woods,33,10
D.,Freeman,34,10
C.,Carson,35,10
M.,Mack,36,10
J.,Jacobs,37,10
P.,Mahomes,38,10
T.,Lockett,39,10
C.,Godwin,40,10
C.,Kupp,41,10
K.,Golladay,42,10
M.,Ingram,43,10
A.,Jones,44,10
D.,Williams,45,10
E.,Engram,46,10
O.,Howard,47,10
T.,Coleman,48,10
D.,Montgomery,49,10
C.,Ridley,50,15
A.,Green,51,15
J.,Gordon,52,15
T.,Boyd,53,15
J.,White,54,15
T.,Cohen,55,15
H.,Henry,56,15
P.,Lindsay,57,15
S.,Michel,58,15
M.,Gordon,59,15
D.,Henry,60,15
A.,Rodgers,61,15
D.,Watson,62,15
D.,Moore,63,15
A.,Ekeler,64,15
R.,Anderson,65,15
D.,Westbrook,66,15
C.,Samuel,67,15
S.,Shepard,68,15
C.,Kirk,69,15
W.,Fuller,70,15
M.,Williams,71,15
L.,Murray,72,15
M.,Sanders,73,15
L.,Miller,74,15
K.,Drake,75,15
R.,Penny,76,15
B.,Mayfield,77,15
A.,Jeffery,78,15
J.,Landry,79,15
A.,Robinson,80,15
C.,Newton,81,15
K.,Ballage,82,15
R.,Freeman,83,15
S.,Watkins,84,15
D.,Pettis,85,15
M.,Valdes-Scantling,86,15
M.,Jones,87,15
C.,Davis,88,15
C.,Wentz,89,15
D.,Johnson,90,15
P.,Barber,91,15
R.,Jones,92,15
L.,McCoy,93,15
J.,Cook,94,15
D.,Henderson,95,15
C.,Hyde,96,15
J.,Howard,97,15
D.,Guice,98,15
L.,Fitzgerald,99,15
D.,Moncrief,100,20
J.,Crowder,101,20
M.,Ryan,102,20
T.,Williams,103,20
A.,Miller,104,20
G.,Allison,105,20
J.,Jackson,106,20
J.,Samuels,107,20
V.,McDonald,108,20
D.,Lewis,109,20
J.,Brown,110,20
D.,Hamilton,111,20
C.,Sutton,112,20
D.,Funchess,113,20
M.,Breida,114,20
D.,Thompson,115,20
T.,Pollard,116,20
J.,Winston,117,20
D.,Walker,118,20
J.,Goff,119,20
J.,Reed,120,20
L.,Jackson,121,20
D.,Singletary,122,20
J.,Hill,123,20
D.,Jackson,124,20
R.,Wilson,125,20
D.,Brees,126,20
M.,Andrews,127,20
N.,Hines,128,20
B.,Roethlisberger,129,20
T.,Brady,130,20
A.,Mattison,131,20
D.,Harris,132,20
A.,Luck,133,20
K.,Murray,134,20
E.,Ebron,135,20
K.,Stills,136,20
J.,Washington,137,20
A.,Wilson,138,20
E.,Sanders,139,20
M.,Gallup,140,20
G.,Tate,141,20
D.,Njoku,142,20
A.,Hooper,143,20
D.,Samuel,144,20
M.,Boykin,145,20
T.,Quinn,146,20
A.,Humphries,147,20
K.,Coutee,148,20
D.,Metcalf,149,20
C.,Anderson,150,20
K.,Hunt,151,20
P.,Campbell,152,20
M.,Goodwin,153,20
A.,Peterson,154,20
C.,Thompson,155,20
I.,Smith,156,20
M.,Sanu,157,20
M.,Davis,158,20
N.,Harry,159,20
J.,Garoppolo,160,20
D.,Prescott,161,20
D.,Parker,162,20
M.,Brown,163,20
A.,Isabella,164,20
J.,Williams,165,20
J.,Richard,166,20
A.,Morris,167,20
T.,Hockenson,168,20
T.,Ginn,169,20
D.,Chark,170,20
R.,Higgins,171,20
C.,Beasley,172,20
H.,Renfrow,173,20
C.,Herndon,174,20
D.,Williams,175,20
D.,Hilliard,176,20
T.,Montgomery,177,20
M.,Brown,178,20
P.,Rivers,179,20
G.,Bernard,180,20
R.,Armstead,181,20
M.,Trubisky,182,20
S.,Darnold,183,20
J.,Graham,184,20
J.,Hurd,185,20
Z.,Jones,186,20
T.,Burton,187,20
J.,Allen,188,20
D.,Moore,189,20
G.,Olsen,190,20
K.,Rudolph,191,20
D.,Waller,192,20
W.,Snead,193,20
N.,Fant,194,20
R.,Cobb,195,20
K.,Johnson,196,20
J.,Doyle,197,20
B.,Snell,198,20
D.,Johnson,199,20
M.,Hardman,200,20
